X,Y,id,name
10.3852123,48.9456917,node/289645,Nordhausen
12.4763574,48.7430355,node/5619939,Hüttenkofen
12.2976524,48.6408729,node/5668696,Grießenbach
12.3630088,48.6548625,node/5669405,Hörmannsdorf
10.8252171,48.4112413,node/9769475,Täfertingen
10.807393,48.4060294,node/10192259,Hammel
10.7357508,48.4597888,node/10192571,Heretsried
9.3838404,48.6727602,node/13354924,Wendlingen am Neckar
9.3071685,48.7427584,node/13355228,Esslingen am Neckar
9.4184961,48.711173,node/13675911,Plochingen
8.0056049,48.7521656,node/15342752,Greffern
8.0460292,48.7470818,node/15371959,Schwarzach
8.0591485,48.7337992,node/15372375,Hildmannsfeld
8.0480008,48.7650016,node/15372387,Stollhofen
7.9694636,48.7074374,node/15372595,Helmlingen
7.9843376,48.6820814,node/15372597,Memprechtshofen
8.0617653,48.7181788,node/15372792,Moos
8.089451,48.7286651,node/15372793,Oberbruch
8.0997247,48.7532117,node/15372808,Leiberstung
8.0624313,48.6926132,node/15372931,Zell
8.0581589,48.6873101,node/15372937,Unzhurst
8.40427,48.9397149,node/17652682,Ettlingen
7.9825142,48.7357885,node/17981856,Grauelsbaum
11.7399127,48.1289701,node/17982951,Ottendichl
11.7556391,48.1601576,node/18164983,Heimstetten
11.756219,48.175748,node/18164984,Kirchheim bei München
11.787412,48.1418976,node/18164986,Parsdorf
8.0150864,48.7276553,node/18288489,Ulm
11.7736002,48.0590045,node/18644167,Harthausen
8.0585501,48.7773366,node/20601052,Söllingen
8.0924882,48.6390302,node/20602346,Sasbach
8.1050476,48.6321099,node/20602347,Obersasbach
8.1120879,48.667086,node/20602693,Ottersweier
8.1138218,48.7196031,node/20603299,Vimbuch
8.1118983,48.7972825,node/20603511,Hügelsheim
7.9952091,48.7104884,node/20603898,Scherzheim
11.867376,48.1914326,node/20931233,Markt Schwaben
11.2284031,48.3866398,node/20935841,Humersberg
11.2313265,48.396255,node/20945187,Halmsried
11.2213855,48.4057758,node/20945188,Rudersberg
11.233724,48.3720446,node/20945382,Oberzeitlbach
11.297827,48.3389428,node/20945383,Petersberg
11.1922598,48.3694855,node/20945553,Kiemertshofen
11.2145204,48.375281,node/20945556,Oberndorf
8.1872676,48.6868867,node/20975580,Bühlertal
11.7601947,48.0964293,node/20979605,Neukeferloh
11.479351,47.8646925,node/21133736,Geretsried
11.1981821,48.4035262,node/21308921,Wollomoos
11.1607189,48.3789742,node/21309205,Tödtenried
11.089332,48.3881928,node/21309206,Laimering
11.1565843,48.3696645,node/21309451,Irschenhofen
11.1386677,48.3579139,node/21309453,Adelzhausen
11.1100673,48.3826127,node/21309455,Rieden
11.3852946,48.3018611,node/21494504,Rumeltshausen
11.7068785,48.0922094,node/21539083,Solalinden
8.4033079,48.3456021,node/21618724,Alpirsbach
11.6124731,48.683404,node/21622466,Geisenfeld
11.5729832,48.7314316,node/21622467,Ernsgaden
12.8760923,47.7222676,node/21623655,Bad Reichenhall
13.0021634,47.63108,node/21627771,Berchtesgaden
12.9846526,47.6054955,node/21627772,Schönau am Königssee
10.3699251,47.5062921,node/21635999,Bad Hindelang
10.4072789,47.4794193,node/21636000,Hinterstein
11.2655684,47.4429543,node/22281426,Mittenwald
11.2896592,48.4052204,node/24676625,Pipinsried
11.2154083,48.4191138,node/24678541,Thalhausen
8.3699476,48.9259588,node/24955226,Bruchhausen
8.3896132,48.9286598,node/24958598,Ettlingenweier
8.4024783,48.8985052,node/24958600,Schluttenbach
8.4175818,48.895945,node/24958636,Schöllbronn
8.4318781,48.9116092,node/24958652,Spessart
8.4664085,48.9106109,node/24969579,Etzenrot
8.4702015,48.8963768,node/24969588,Spielberg
8.4984243,48.8444597,node/24969595,Langenalb
8.5304573,48.8434858,node/24969611,Conweiler
8.5514773,48.8469365,node/24969634,Schwann
8.4820331,48.8166111,node/24969673,Neusatz
8.4542655,48.9305661,node/24982693,Busenbach
11.6102245,48.0662249,node/25248769,Unterhaching
11.4086558,48.5130624,node/25374137,Euernbach
11.3618955,48.4937435,node/25375568,Gerolsbach
11.3986133,48.4484302,node/25397170,Eck
11.3957369,48.4637032,node/25397171,Lichthausen
11.4172973,48.4367925,node/25397172,Priel
11.4186595,48.4332797,node/25397173,Jetzendorf
12.7626208,48.4031909,node/25478935,Eggenfelden
11.1127989,47.5306769,node/25532513,Farchant
11.4266377,47.9104632,node/25532515,Wolfratshausen
11.5594603,48.5668101,node/25578369,Walkersbach
11.6172775,48.4705916,node/25591591,Aufham
11.6273759,48.4574001,node/25591592,Nörting
11.6536536,48.4587564,node/25591675,Kirchdorf an der Amper
11.1795268,48.7371951,node/25622784,Neuburg an der Donau
11.7156265,48.0753076,node/25631850,Putzbrunn
11.5191848,48.371999,node/25777365,Kammerberg
11.4875927,48.3926421,node/25777660,Kollbach
11.5363853,48.3607598,node/25777683,Bachenhausen
11.6024173,48.3240098,node/25813784,Günzenhausen
8.3658269,48.6075035,node/25831270,Schönmünzach
11.4007854,48.2988674,node/25871028,Assenhausen
11.8442875,48.0051994,node/25871662,Schlacht
11.8136285,48.0220272,node/25871931,Oberpframmern
11.2348784,48.3095071,node/25957102,Orthofen
11.1942039,48.3235328,node/25963036,Miegersbach
11.4925548,48.3150369,node/25968395,Lotzbach
11.3058966,48.3428056,node/25977777,Eisenhofen
11.4798004,48.3667084,node/25981444,Rettenbach
11.4695694,48.2896469,node/26010784,Hebertshausen
11.4358293,48.3105102,node/26010785,Arzbach
11.1229253,48.3476003,node/26020107,Burgadelzhausen
11.094981,48.3726888,node/26020111,Tattenhausen
