X,Y,id,name
8.7352499,49.709349,node/11437285,Raidelbach
8.6928307,49.712853,node/12101529,Reichenbach
8.6700312,49.7018372,node/12101530,Elmshausen
8.6613432,49.6954443,node/12101531,Wilmshausen
8.6478186,49.6931615,node/12101532,Schönberg
8.6227577,49.6810158,node/12101533,Bensheim
8.6723952,49.6835273,node/14957424,Gronau
8.6442677,49.6751508,node/14957425,Zell
8.7216153,49.6895585,node/14957644,Schannenbach
8.7415812,49.6878328,node/14957646,Seidenbuch
8.720596,49.7215029,node/14957650,Lautern
8.7551385,49.7073847,node/14957651,Kolmbach
8.7653187,49.6832088,node/15326364,Schlierbach
8.7676945,49.6660641,node/15326378,Ellenbach
8.6216694,49.741967,node/15612615,Alsbach
8.5688567,49.6985287,node/15843311,Schwanheim
8.2869901,49.0344882,node/17651838,Maximiliansau
8.6757891,49.6143807,node/19077718,Ober-Laudenbach
8.7379335,49.7354369,node/21424947,Brandau
8.7148255,49.7456381,node/21483731,Allertshofen
8.7942401,49.7473974,node/21483833,Steinau
8.76662,49.7428743,node/21483899,Lützelbach
8.7750291,49.7334221,node/21483901,Neunkirchen
8.787867,49.5313653,node/21757718,Unter-Abtsteinach
8.5673003,49.4735917,node/25150600,Ilvesheim
7.3641981,49.248655,node/25553522,Zweibrücken
7.5543118,49.4518819,node/25553755,Ramstein-Miesenbach
8.3461793,49.123748,node/25931973,Leimersheim
8.276964,49.0950751,node/25931974,Jockgrim
8.2755944,49.1185093,node/25931988,Rheinzabern
8.2911891,49.1539607,node/25932011,Rülzheim
8.7354401,49.5982679,node/25990203,Mörlenbach
8.4003114,49.088332,node/26230712,Eggenstein-Leopoldshafen
8.8229151,49.573415,node/26232062,Wald-Michelbach
8.7066162,49.7338578,node/26574489,Beedenkirchen
8.4795321,49.629609,node/26670507,Boxheimerhof
9.218655,49.142291,node/26769661,Heilbronn
8.0187576,49.1395457,node/27307809,Klingenmünster
8.6807668,49.2550577,node/27349262,Malschenberg
8.5245089,49.0532906,node/27430289,Weingarten
8.4981809,49.3004929,node/27759259,Altlußheim
8.5220709,49.2936758,node/27759263,Neulußheim
9.0059712,49.6793531,node/27795799,Michelstadt
8.9236356,49.3930241,node/28836187,Haag
8.8159217,49.3209158,node/28836896,Meckesheim
8.2844922,49.1964663,node/29024959,Bellheim
8.2506949,49.2343312,node/29024981,Zeiskam
9.1240565,49.1434266,node/29727657,Leingarten
9.101268,49.2393031,node/29736474,Bad Rappenau
8.9915645,49.2060256,node/29817655,Kirchardt
9.0827453,49.2908862,node/29875892,Hüffenhardt
9.0355066,49.290836,node/29877927,Wollenberg
9.0228836,49.3053074,node/29877928,Bargen
9.0006237,49.3070742,node/29877929,Flinsbach
8.9617359,49.293192,node/29878320,Neckarbischofsheim
9.275092,49.089717,node/29996224,Untergruppenbach
9.3845288,49.1693759,node/30585703,Dimbach
8.3204809,49.1166189,node/30631616,Neupotz
9.2865471,49.1503044,node/30902958,Weinsberg
8.5788029,49.5401174,node/31413766,Viernheim
9.046756,49.1775314,node/32972061,Massenbachhausen
9.2458327,49.0553992,node/33073921,Ilsfeld
9.3192878,49.0242983,node/34017999,Oberstenfeld
8.6499273,49.7122922,node/34748100,Hochstädten
9.212604,49.2300761,node/34966115,Bad Friedrichshall
9.1621599,49.2302875,node/34966318,Bad Wimpfen
9.1046603,49.3417296,node/34967258,Neckarelz
9.1466828,49.3010953,node/34967261,Haßmersheim
9.1322724,49.3182713,node/34968246,Neckarzimmern
8.1747857,49.2808783,node/35305838,Venningen
8.1316291,49.3052161,node/35310306,Maikammer
8.0846794,49.2672903,node/35317143,Weyher in der Pfalz
8.1067124,49.2708776,node/35326629,Rhodt unter Rietburg
8.0914033,49.2373251,node/35326799,Böchingen
8.9157223,49.2171053,node/35343739,Reihen
8.9084374,49.1373277,node/35344151,Eppingen
8.9321129,49.1920354,node/35344295,Ittlingen
9.3394769,49.0333063,node/35430464,Gronau
6.5736454,49.6984949,node/35611084,Konz
8.5515147,49.7184338,node/36478776,Langwaden
8.8409448,49.2723872,node/36679935,Hoffenheim
8.8767345,49.293953,node/36680245,Daisbach
8.9122305,49.336951,node/36680671,Epfenbach
8.9888513,49.3555418,node/36681151,Aglasterhausen
8.698707,49.2942599,node/36854138,Wiesloch
8.1150946,49.7455695,node/39817180,Alzey
6.7270395,49.6639149,node/41744884,Hinzenburg
6.7639526,49.6426448,node/41744889,Heddert
6.7609356,49.6803676,node/41745215,Holzerath
6.7257711,49.7192039,node/41745977,Gutweiler
7.2727046,49.2407074,node/50592866,Webenheim
7.2675005,49.227112,node/50592879,Mimbach
7.245947,49.1975189,node/50592888,Breitfurt
7.2207935,49.1672034,node/50592898,Herbitzheim
7.2036154,49.1459576,node/50592905,Gersheim
7.1819535,49.1378971,node/50598758,Reinheim
7.1817239,49.1957904,node/50598777,Erfweiler-Ehlingen
7.2599036,49.2370918,node/50598795,Blieskastel
7.2060613,49.2211866,node/50600951,Biesingen
7.1877516,49.2161954,node/50600963,Aßweiler
7.3351606,49.3876652,node/50604128,Waldmohr
8.9267066,49.6530227,node/50790290,Unter-Mossau
8.9254829,49.6754826,node/50790292,Ober-Mossau
8.8719543,49.7313998,node/50802226,Gersprenz
8.8831757,49.7531557,node/50802231,Nieder-Kainsbach
8.860648,49.7451903,node/50802233,Fränkisch-Crumbach
8.5739147,49.2945507,node/52202512,Reilingen
8.3737948,49.3865825,node/52241294,Schifferstadt
8.2934325,49.4582468,node/54084734,Fußgönheim
7.4264887,49.3797103,node/54138573,Vogelbach
7.4611902,49.3879228,node/54138583,Bruchmühlbach
7.4924859,49.4001451,node/54138593,Hauptstuhl
7.5722301,49.4143311,node/54146973,Landstuhl
